Reading training examples... (131 examples) done
Iter 104: *(NumConst=98, SV=90, CEps=0.1259, QPEps=0.0532)
Iter 105: *(NumConst=98, SV=91, CEps=0.1258, QPEps=0.0530)
Iter 106: *(NumConst=99, SV=92, CEps=0.1346, QPEps=0.0566)
Iter 107: *(NumConst=100, SV=93, CEps=0.1191, QPEps=0.0573)
Iter 108: *(NumConst=100, SV=94, CEps=0.1510, QPEps=0.0568)
Iter 109: *(NumConst=101, SV=95, CEps=0.1122, QPEps=0.0548)
Iter 110: *(NumConst=102, SV=96, CEps=0.1104, QPEps=0.0522)
Iter 111: *(NumConst=103, SV=96, CEps=0.1213, QPEps=0.0536)
Iter 112: *(NumConst=104, SV=96, CEps=0.1239, QPEps=0.0543)
Iter 113: *(NumConst=105, SV=97, CEps=0.1045, QPEps=0.0498)
Iter 114: *(NumConst=106, SV=98, CEps=0.1134, QPEps=0.0458)
Iter 115: *(NumConst=106, SV=99, CEps=0.1084, QPEps=0.0497)
Iter 116: *(NumConst=107, SV=100, CEps=0.1158, QPEps=0.0474)
Iter 117: *(NumConst=108, SV=100, CEps=0.1051, QPEps=0.0503)
Iter 118: *(NumConst=108, SV=101, CEps=0.1149, QPEps=0.0477)
Iter 119: .........*(NumConst=109, SV=102, CEps=0.1041, QPEps=0.0453)
Iter 120: .........(NumConst=109, SV=102, CEps=0.0967, QPEps=0.0453)
Final epsilon on KKT-Conditions: 0.09669
Upper bound on duality gap: 97.63704
Dual objective value: dval=6466.74898
Primal objective value: pval=6564.38602
Total number of constraints in final working set: 109 (of 119)
Number of iterations: 120
Number of calls to 'find_most_violated_constraint': 1048
Number of SV: 102 
Norm of weight vector: |w|=113.73390
Value of slack variable (on working set): xi=0.02256
Value of slack variable (global): xi=0.09669
Norm of longest difference vector: ||Psi(x,y)-Psi(x,ybar)||=1.55862
Runtime in cpu-seconds: 0.22
Final number of constraints in cache: 509
Compacting linear model...done
Writing learned model...done

